Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,718.3838258581279,1090.9836348449676,1090.9814660810491
Trainning,251.40051,454.45416,453.28986
Validation,250.06769,419.63263,417.32227
Test Output 1,158.1601214204997,316.66826707007885,316.4886480160807
Test Output 2,227.54093378664547,401.1750946620748,399.73604287985813
Test Output 3,260.40070500667304,439.51188710880456,437.4215157422766
Test Output 4,281.7249175649579,464.1015851604128,461.3088149160729
Test Output 5,289.5828418941365,480.5061182615267,478.9137833544377
Test Output Mean,243.48190393458248,420.3925904525796,418.77376098174517
