Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196
Trainning,251.7959,454.9613,453.75793
Validation,253.79005,420.97375,418.0133
Test Output 1,155.8768923172231,315.7663815007563,315.63701443207424
Test Output 2,224.68079223625293,400.82249218306424,400.4134764724285
Test Output 3,246.13589837594307,438.9286965528098,438.4312851058373
Test Output 4,265.6021185826914,461.7079708397348,461.59298677138537
Test Output 5,289.5077381260919,479.6575801209941,478.7415666657065
Test Output Mean,236.3606879276405,419.3766242394719,418.9632658894864
