Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196
Trainning,126.90949,317.29532,316.79907
Validation,126.638916,230.64322,228.50798
Test Output 1,78.4019107905905,221.23460716776336,221.15650004072955
Test Output 2,108.19547541871603,279.3119379205477,279.218223951268
Test Output 3,122.66593463394963,303.9190204269869,303.8375294528201
Test Output 4,131.5626591310069,318.63253096700544,318.49301726113003
Test Output 5,139.42466864570352,329.8810281029769,329.6311211343067
Test Output Mean,116.05012972399331,290.59582491705606,290.46727836805087
