Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196

Test Output 1,69.87367882020658,226.82716815646214,226.7949940182899
Test Output 2,98.35396906742861,288.19266529342286,288.0866563910251
Test Output 3,113.12588265202415,313.2092455212471,313.04760109438183
Test Output 4,122.6985087921537,327.9039122210761,327.65227342756185
Test Output 5,129.99060710625525,339.96694857853544,339.6532169836812
Test Output Mean,106.80852928761365,299.21998795414873,299.046948382988
