Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,170.53573972071223,267.8556282622717,267.8549940469551
Trainning,52.50373,111.2303,111.06091
Validation,52.26921,100.2828,100.111305
Test Output 1,31.60615375316609,72.99079524998676,72.95761749637454
Test Output 2,43.99106599228017,92.5120758384789,92.42221483301748
Test Output 3,50.36467543570373,100.58475089625597,100.41820455845637
Test Output 4,54.48138067509543,105.6560343522033,105.39726843354414
Test Output 5,57.92110507433957,110.38935642904107,110.11667321097387
Test Output Mean,47.672876186117,96.42660255319319,96.26239570647327
