Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,85.05344698802573,190.60820297717706,190.60799178735243
Trainning,25.851604,77.712555,77.595474
Validation,25.73002,54.449074,54.332596
Test Output 1,15.945733382572913,51.24765082830987,51.23994142357518
Test Output 2,22.064297754864867,64.60218793308718,64.59967035830725
Test Output 3,25.328050130285,70.86553908891207,70.85337134228388
Test Output 4,27.609820248586285,75.12231871427612,75.11050244512381
Test Output 5,29.44048731232726,78.32818340817882,78.32006990134411
Test Output Mean,24.077677765727266,68.0331759945528,68.02471109412686
