Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,170.53573972071223,267.8556282622717,267.8549940469551
Trainning,52.184624,111.11661,110.943016
Validation,52.043015,100.2251,100.10451
Test Output 1,31.149697676126003,72.74043349973569,72.73680308641191
Test Output 2,43.63516935253142,91.82211875960556,91.77619491240664
Test Output 3,50.27832374928013,100.56175422408239,100.4596147021127
Test Output 4,54.63902736981627,106.41610771471237,106.28515635622752
Test Output 5,58.2397897861364,111.09466931193384,110.96991616668076
Test Output Mean,47.58840158677805,96.52701670201398,96.4455370447679
