Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standard Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196
Trainning,102.47398,304.0454,303.10104
Validation,104.21529,223.62434,222.0364
Test Output 1,73.2392231037604,226.48997602069906,225.69535737615234
Test Output 2,98.63742059350326,286.2255874937008,285.6002745768851
Test Output 3,112.87225767243524,314.64704658891816,314.34790561638147
Test Output 4,122.49399441302707,331.0598877361193,330.8854455493458
Test Output 5,130.28844919729218,343.44051036481653,343.34798727746494
Test Output Mean,107.50626899600363,300.37260164085075,299.9753940792459
