Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196
Trainning,95.319664,287.20746,286.35297
Validation,99.74624,215.34038,213.5986
Test Output 1,73.17745857193371,224.9219280560055,224.90880292796567
Test Output 2,101.53614841933941,290.4699515821395,290.4428854881023
Test Output 3,117.07293082784916,323.6654265911941,323.552520993636
Test Output 4,126.75014070044836,342.54802394343386,342.2935998581196
Test Output 5,134.1316737186465,355.12038833061445,354.90302705921323
Test Output Mean,110.53367044764343,307.34514370067745,307.2201672654074
