Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,718.3838258581279,1090.9836348449676,1090.9814660810491
Trainning,218.33061,464.27863,462.77573
Validation,218.72092,424.53458,423.075
Test Output 1,139.46813344908364,317.5474635975845,316.99487078830055
Test Output 2,191.55684209480708,402.0805202609939,400.59288607318655
Test Output 3,220.6183039603868,443.5811689531466,441.8714569945911
Test Output 4,240.1021931162046,468.62323881911647,467.1146106632639
Test Output 5,255.29407859839182,485.8577723838747,484.6128926359861
Test Output Mean,209.40791024377478,423.53803280294323,422.2373434310657
