Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,718.3838258581279,1090.9836348449676,1090.9814660810491
Trainning,250.72183,453.00278,451.8808
Validation,248.24373,418.60016,416.59622
Test Output 1,157.73704815443682,315.5406228348056,314.9592755857872
Test Output 2,219.4554888369085,399.0929889129954,399.085791007545
Test Output 3,251.91455878833736,437.48181630432015,437.377865642217
Test Output 4,271.105942131238,461.09287166146623,460.90662228487616
Test Output 5,285.5472637483307,477.92596389240157,477.66610220415174
Test Output Mean,237.15206033185032,418.2268527211978,417.99913134491544
