Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196
Trainning,127.333046,317.57025,317.08276
Validation,131.2936,236.07373,231.95811
Test Output 1,80.49420464737364,221.96379936754047,221.95984216581894
Test Output 2,108.99605089628326,279.97807656089697,279.85304283725736
Test Output 3,122.20673829807302,304.72104572310934,304.42101730800266
Test Output 4,130.0945895371591,319.87352783625147,319.39540710151863
Test Output 5,137.20168002667302,331.67487915005023,331.1857509713865
Test Output Mean,115.79865268111242,291.6422657275697,291.3630120767968
