Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline, 359.972, 779.223, 779.223
Trainning, 148.315, 389.555, 388.918
Validation, 148.315, 262.223, 261.426
Test Output Mean, 145.371, 357.430, 357.151
Test Output 1, 137.019 ,340.971 , 340.753
Test Output 2, 141.556, 350.545, 350.302
Test Output 3, 146.064, 359.952, 359.706
Test Output 4, 149.574, 365.421, 365.106
Test Output 5, 152.642, 370.263, 369.890
