Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196
Trainning,113.442,332.453,331.984
Validation,112.902,238.474,238.104
Test Output 1,68.371,223.032,222.948
Test Output 2,94.983,281.521,281.235
Test Output 3,108.708,308.921,308.3
Test Output 4,118.009,324.057,323.442
Test Output 5,125.315,335.274,334.620
Test Output Mean,103.077,294.561,294.109
