Model,Mean Absolute Error (MAE),Root Mean Square (RMS),Standart Deviation
Baseline,359.9720610676779,779.2234203761925,779.222650950196
Trainning,116.869,342.489,342.148
Validation,116.282,245.317,245.109
Test Output 1,71.50159345015149,230.4223371632223,230.2259511348916
Test Output 2,100.62818382635272,291.8653457247349,291.2867829792722
Test Output 3,114.55100250289166,317.00304304788966,316.37019323281845
Test Output 4,125.92052866246185,332.36366235430074,331.823153261573
Test Output 5,133.9188988868956,343.7126012769786,343.1195293162853
Test Output Mean,109.30404146575066,303.07339791342525,302.5651219849681
